transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN600001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,93000,Salary,income,Net Banking,Savings Account,2030-01-01,INR,Bengaluru,Yes
TXN600002,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2030-01-02,INR,Bengaluru,Yes
TXN600003,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2030-01-02,INR,Bengaluru,Yes
TXN600004,USR30891,Ola Cabs,Ride / fuel expense,1311.66,Transportation,expense,Credit Card,Credit Card,2030-01-02,INR,Bengaluru,No
TXN600005,USR30891,Local Gaming Cafe,Entertainment purchase,216.45,Entertainment,expense,Credit Card,Credit Card,2030-01-02,INR,Bengaluru,No
TXN600006,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2030-01-03,INR,Bengaluru,Yes
TXN600007,USR30891,Third Wave Coffee,Food order / dining,711.6,Food & Dining,expense,Credit Card,Credit Card,2030-01-03,INR,Bengaluru,No
TXN600008,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2030-01-04,INR,Bengaluru,Yes
TXN600009,USR30891,HP Petrol Pump,Ride / fuel expense,734.29,Transportation,expense,Credit Card,Credit Card,2030-01-04,INR,Bengaluru,No
TXN600010,USR30891,BESCOM Electricity,Electricity bill payment,1410.46,Utilities,expense,UPI,Savings Account,2030-01-05,INR,Bengaluru,Yes
TXN600011,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2030-01-06,INR,Bengaluru,Yes
TXN600012,USR30891,BWSSB Water Bill,Water bill payment,265.76,Utilities,expense,Net Banking,Savings Account,2030-01-07,INR,Bengaluru,Yes
TXN600013,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2030-01-08,INR,Bengaluru,Yes
TXN600014,USR30891,Local Gaming Cafe,Entertainment purchase,169.26,Entertainment,expense,UPI,Savings Account,2030-01-08,INR,Bengaluru,No
TXN600015,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2030-01-10,INR,Bengaluru,Yes
TXN600016,USR30891,Flipkart,Online/offline shopping purchase,1996.27,Shopping,expense,Debit Card,Savings Account,2030-01-10,INR,Bengaluru,No
TXN600017,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,378.22,Healthcare,expense,UPI,Savings Account,2030-01-11,INR,Bengaluru,No
TXN600018,USR30891,Upwork Client Payment,Freelance project payment received,10360.91,Freelancing,income,Net Banking,Savings Account,2030-01-12,INR,Bengaluru,No
TXN600019,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2030-01-12,INR,Bengaluru,Yes
TXN600020,USR30891,IRCTC,Travel booking,4330.79,Travel,expense,Credit Card,Credit Card,2030-01-12,INR,Bengaluru,No
TXN600021,USR30891,MakeMyTrip,Travel booking,1173.88,Travel,expense,Net Banking,Savings Account,2030-01-13,INR,Bengaluru,No
TXN600022,USR30891,DMart,Grocery purchase,2606.5,Groceries,expense,Cash,Savings Account,2030-01-13,INR,Bengaluru,No
TXN600023,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2030-01-15,INR,Bengaluru,Yes
TXN600024,USR30891,Local Restaurant,Food order / dining,638.6,Food & Dining,expense,Credit Card,Credit Card,2030-01-17,INR,Bengaluru,No
TXN600025,USR30891,Tata 1mg,Pharmacy / clinic payment,1133.49,Healthcare,expense,Debit Card,Savings Account,2030-01-18,INR,Bengaluru,No
