transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN970001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,112000,Salary,income,Net Banking,Savings Account,2034-12-01,INR,Bengaluru,Yes
TXN970002,USR30891,Zomato,Food order / dining,528.79,Food & Dining,expense,Cash,Savings Account,2034-12-01,INR,Bengaluru,No
TXN970003,USR30891,Domino's Pizza,Food order / dining,477.85,Food & Dining,expense,Cash,Savings Account,2034-12-01,INR,Bengaluru,No
TXN970004,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2034-12-02,INR,Bengaluru,Yes
TXN970005,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2034-12-02,INR,Bengaluru,Yes
TXN970006,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2034-12-03,INR,Bengaluru,Yes
TXN970007,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2034-12-04,INR,Bengaluru,Yes
TXN970008,USR30891,PVR Cinemas,Entertainment purchase,308.34,Entertainment,expense,UPI,Savings Account,2034-12-04,INR,Bengaluru,No
TXN970009,USR30891,Stationery Shop,Miscellaneous expense,612.08,Other,expense,UPI,Savings Account,2034-12-04,INR,Bengaluru,No
TXN970010,USR30891,BESCOM Electricity,Electricity bill payment,1368.88,Utilities,expense,UPI,Savings Account,2034-12-05,INR,Bengaluru,Yes
TXN970011,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2034-12-06,INR,Bengaluru,Yes
TXN970012,USR30891,BWSSB Water Bill,Water bill payment,338.57,Utilities,expense,Net Banking,Savings Account,2034-12-07,INR,Bengaluru,Yes
TXN970013,USR30891,Flipkart,Online/offline shopping purchase,2450.71,Shopping,expense,Debit Card,Savings Account,2034-12-07,INR,Bengaluru,No
TXN970014,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2034-12-08,INR,Bengaluru,Yes
TXN970015,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2034-12-10,INR,Bengaluru,Yes
TXN970016,USR30891,Courier - Delhivery,Miscellaneous expense,393.04,Other,expense,UPI,Savings Account,2034-12-10,INR,Bengaluru,No
TXN970017,USR30891,Tata 1mg,Pharmacy / clinic payment,1214.37,Healthcare,expense,Cash,Savings Account,2034-12-11,INR,Bengaluru,No
TXN970018,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2034-12-12,INR,Bengaluru,Yes
TXN970019,USR30891,BookMyShow,Entertainment purchase,157.52,Entertainment,expense,UPI,Savings Account,2034-12-13,INR,Bengaluru,No
TXN970020,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2034-12-15,INR,Bengaluru,Yes
