transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN950001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,112000,Salary,income,Net Banking,Savings Account,2034-07-01,INR,Bengaluru,Yes
TXN950002,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2034-07-02,INR,Bengaluru,Yes
TXN950003,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2034-07-02,INR,Bengaluru,Yes
TXN950004,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2034-07-03,INR,Bengaluru,Yes
TXN950005,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2034-07-04,INR,Bengaluru,Yes
TXN950006,USR30891,BESCOM Electricity,Electricity bill payment,983.49,Utilities,expense,UPI,Savings Account,2034-07-05,INR,Bengaluru,Yes
TXN950007,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2034-07-06,INR,Bengaluru,Yes
TXN950008,USR30891,Myntra,Online/offline shopping purchase,472.49,Shopping,expense,Debit Card,Savings Account,2034-07-06,INR,Bengaluru,No
TXN950009,USR30891,BWSSB Water Bill,Water bill payment,424.82,Utilities,expense,Net Banking,Savings Account,2034-07-07,INR,Bengaluru,Yes
TXN950010,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2034-07-08,INR,Bengaluru,Yes
TXN950011,USR30891,WazirX Staking Payout,Crypto staking reward credited,811.88,Crypto Staking Yield,income,Net Banking,Savings Account,2034-07-10,INR,Bengaluru,Yes
TXN950012,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2034-07-10,INR,Bengaluru,Yes
TXN950013,USR30891,BookMyShow,Entertainment purchase,545.38,Entertainment,expense,UPI,Savings Account,2034-07-10,INR,Bengaluru,No
TXN950014,USR30891,Upwork Client Payment,Freelance project payment received,10828.17,Freelancing,income,Net Banking,Savings Account,2034-07-11,INR,Bengaluru,No
TXN950015,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2034-07-12,INR,Bengaluru,Yes
TXN950016,USR30891,Coursera Subscription,Online course payment,894.19,Education,expense,Credit Card,Credit Card,2034-07-12,INR,Bengaluru,No
TXN950017,USR30891,Stationery Shop,Miscellaneous expense,152.28,Other,expense,UPI,Savings Account,2034-07-14,INR,Bengaluru,No
TXN950018,USR30891,Coursera Subscription,Online course payment,1044.15,Education,expense,Credit Card,Credit Card,2034-07-14,INR,Bengaluru,No
TXN950019,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2034-07-15,INR,Bengaluru,Yes
TXN950020,USR30891,Udemy,Online course payment,1329.12,Education,expense,Credit Card,Credit Card,2034-07-16,INR,Bengaluru,No
TXN950021,USR30891,Coursera Subscription,Online course payment,2074.29,Education,expense,Credit Card,Credit Card,2034-07-17,INR,Bengaluru,No
TXN950022,USR30891,GST Payment - Freelance,Advance tax / GST payment,1067.11,Tax,expense,Net Banking,Savings Account,2034-07-20,INR,Bengaluru,Yes
TXN950023,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,1462.62,Healthcare,expense,UPI,Savings Account,2034-07-22,INR,Bengaluru,No
TXN950024,USR30891,Amazon.in,Online/offline shopping purchase,1285.35,Shopping,expense,UPI,Savings Account,2034-07-22,INR,Bengaluru,No
TXN950025,USR30891,Zerodha - Dividend Payout,Investment payout received,819.32,Investments,income,Net Banking,Savings Account,2034-07-23,INR,Bengaluru,No
TXN950026,USR30891,IndiGo Airlines,Travel booking,3658.89,Travel,expense,Net Banking,Savings Account,2034-07-23,INR,Bengaluru,No
TXN950027,USR30891,More Supermarket,Grocery purchase,2437.38,Groceries,expense,Debit Card,Savings Account,2034-07-24,INR,Bengaluru,No
TXN950028,USR30891,Coursera Subscription,Online course payment,1437.6,Education,expense,Credit Card,Credit Card,2034-07-24,INR,Bengaluru,No
TXN950029,USR30891,Tata 1mg,Pharmacy / clinic payment,687.86,Healthcare,expense,UPI,Savings Account,2034-07-25,INR,Bengaluru,No
TXN950030,USR30891,Third Wave Coffee,Food order / dining,301.0,Food & Dining,expense,Cash,Savings Account,2034-07-26,INR,Bengaluru,No
TXN950031,USR30891,Tata 1mg,Pharmacy / clinic payment,451.59,Healthcare,expense,UPI,Savings Account,2034-07-27,INR,Bengaluru,No
TXN950032,USR30891,Local Gaming Cafe,Entertainment purchase,764.18,Entertainment,expense,Credit Card,Credit Card,2034-07-28,INR,Bengaluru,No
TXN950033,USR30891,Local Kirana Store,Grocery purchase,672.86,Groceries,expense,Debit Card,Savings Account,2034-07-29,INR,Bengaluru,No
TXN950034,USR30891,Stationery Shop,Miscellaneous expense,786.73,Other,expense,UPI,Savings Account,2034-07-30,INR,Bengaluru,No
TXN951001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,112000,Salary,income,Net Banking,Savings Account,2034-08-01,INR,Bengaluru,Yes
TXN951002,USR30891,Local Gaming Cafe,Entertainment purchase,190.43,Entertainment,expense,UPI,Savings Account,2034-08-01,INR,Bengaluru,No
TXN951003,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2034-08-02,INR,Bengaluru,Yes
TXN951004,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2034-08-02,INR,Bengaluru,Yes
TXN951005,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2034-08-03,INR,Bengaluru,Yes
TXN951006,USR30891,Udemy,Online course payment,2311.44,Education,expense,Credit Card,Credit Card,2034-08-03,INR,Bengaluru,No
TXN951007,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2034-08-04,INR,Bengaluru,Yes
TXN951008,USR30891,BESCOM Electricity,Electricity bill payment,1406.78,Utilities,expense,UPI,Savings Account,2034-08-05,INR,Bengaluru,Yes
TXN951009,USR30891,Local Gaming Cafe,Entertainment purchase,801.98,Entertainment,expense,UPI,Savings Account,2034-08-05,INR,Bengaluru,No
