transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN100001,USR40567,Vishal Retail Solutions Pvt Ltd - Salary,Monthly salary credit,52000,Salary,income,Net Banking,Savings Account,2036-01-01,INR,Lucknow,Yes
TXN100002,USR40567,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2036-01-02,INR,Lucknow,Yes
TXN100003,USR40567,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2036-01-02,INR,Lucknow,Yes
TXN100004,USR40567,Sharma Estate - Landlord,Monthly house rent,12000,Housing & Rent,expense,Net Banking,Savings Account,2036-01-03,INR,Lucknow,Yes
TXN100005,USR40567,UPPCL Electricity,Electricity bill payment,872.39,Utilities,expense,UPI,Savings Account,2036-01-05,INR,Lucknow,Yes
TXN100006,USR40567,Airtel Broadband,Broadband monthly bill,699,Utilities,expense,UPI,Savings Account,2036-01-06,INR,Lucknow,Yes
TXN100007,USR40567,Jal Nigam Water Bill,Water bill payment,197.77,Utilities,expense,Net Banking,Savings Account,2036-01-07,INR,Lucknow,Yes
TXN100008,USR40567,PVR Cinemas,Entertainment purchase,253.16,Entertainment,expense,UPI,Savings Account,2036-01-07,INR,Lucknow,No
TXN100009,USR40567,Bajaj Finserv Phone EMI,Mobile phone EMI,2500,EMI,expense,Net Banking,Savings Account,2036-01-08,INR,Lucknow,Yes
TXN100010,USR40567,MakeMyTrip,Travel booking,1558.95,Travel,expense,Credit Card,Credit Card,2036-01-08,INR,Lucknow,No
TXN100011,USR40567,Star Health Insurance,Health insurance premium,1400,Insurance,expense,Net Banking,Savings Account,2036-01-10,INR,Lucknow,Yes
TXN100012,USR40567,Courier - Delhivery,Miscellaneous expense,116.57,Other,expense,UPI,Savings Account,2036-01-11,INR,Lucknow,No
TXN100013,USR40567,Coursera Subscription,Online course payment,1338.56,Education,expense,Credit Card,Credit Card,2036-01-11,INR,Lucknow,No
TXN100014,USR40567,Groww - Dividend Payout,Investment payout received,744.19,Investments,income,Net Banking,Savings Account,2036-01-12,INR,Lucknow,No
TXN100015,USR40567,RD Auto-Debit - SBI Bank,Recurring deposit auto-transfer,2000,Savings,expense,Net Banking,Savings Account,2036-01-12,INR,Lucknow,Yes
TXN100016,USR40567,Coin DCX Staking Reward,Crypto staking reward credited,871.93,Crypto Staking Yield,income,UPI,Savings Account,2036-01-14,INR,Lucknow,Yes
TXN100017,USR40567,Fiverr Freelance Order,Freelance project payment received,2791.9,Freelancing,income,Net Banking,Savings Account,2036-01-15,INR,Lucknow,No
TXN100018,USR40567,Groww - SIP Investment,Monthly SIP investment,2000,Investment,expense,Net Banking,Savings Account,2036-01-15,INR,Lucknow,Yes
TXN100019,USR40567,Coursera Subscription,Online course payment,1390.39,Education,expense,Credit Card,Credit Card,2036-01-17,INR,Lucknow,No
TXN100020,USR40567,Domino's Pizza,Food order / dining,130.47,Food & Dining,expense,Cash,Savings Account,2036-01-19,INR,Lucknow,No
TXN100021,USR40567,Income Tax Advance Payment,Advance tax payment,1140.69,Tax,expense,Net Banking,Savings Account,2036-01-20,INR,Lucknow,Yes
TXN100022,USR40567,Redbus,Travel booking,1838.81,Travel,expense,Credit Card,Credit Card,2036-01-20,INR,Lucknow,No
TXN100023,USR40567,Meena Bazaar,Online/offline shopping purchase,648.14,Shopping,expense,Debit Card,Savings Account,2036-01-20,INR,Lucknow,No
TXN100024,USR40567,Zomato,Food order / dining,383.39,Food & Dining,expense,Credit Card,Credit Card,2036-01-22,INR,Lucknow,No
