transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN800001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,104000,Salary,income,Net Banking,Savings Account,2032-03-01,INR,Bengaluru,Yes
TXN800002,USR30891,IndiGo Airlines,Travel booking,2004.51,Travel,expense,Credit Card,Credit Card,2032-03-01,INR,Bengaluru,No
TXN800003,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2032-03-02,INR,Bengaluru,Yes
TXN800004,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2032-03-02,INR,Bengaluru,Yes
TXN800005,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2032-03-03,INR,Bengaluru,Yes
TXN800006,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2032-03-04,INR,Bengaluru,Yes
TXN800007,USR30891,BESCOM Electricity,Electricity bill payment,959.02,Utilities,expense,UPI,Savings Account,2032-03-05,INR,Bengaluru,Yes
TXN800008,USR30891,Courier - Delhivery,Miscellaneous expense,518.2,Other,expense,UPI,Savings Account,2032-03-05,INR,Bengaluru,No
TXN800009,USR30891,Rapido,Ride / fuel expense,1138.4,Transportation,expense,UPI,Savings Account,2032-03-05,INR,Bengaluru,No
TXN800010,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2032-03-06,INR,Bengaluru,Yes
TXN800011,USR30891,Phoenix Mall,Online/offline shopping purchase,3070.49,Shopping,expense,UPI,Savings Account,2032-03-06,INR,Bengaluru,No
TXN800012,USR30891,BWSSB Water Bill,Water bill payment,437.22,Utilities,expense,Net Banking,Savings Account,2032-03-07,INR,Bengaluru,Yes
TXN800013,USR30891,Local Kirana Store,Grocery purchase,1349.67,Groceries,expense,UPI,Savings Account,2032-03-07,INR,Bengaluru,No
TXN800014,USR30891,OYO Rooms,Travel booking,2636.27,Travel,expense,Net Banking,Savings Account,2032-03-07,INR,Bengaluru,No
TXN800015,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2032-03-08,INR,Bengaluru,Yes
TXN800016,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2032-03-10,INR,Bengaluru,Yes
TXN800017,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2032-03-12,INR,Bengaluru,Yes
TXN800018,USR30891,Local Gaming Cafe,Entertainment purchase,332.93,Entertainment,expense,UPI,Savings Account,2032-03-12,INR,Bengaluru,No
TXN800019,USR30891,Zerodha - Dividend Payout,Investment payout received,1749.29,Investments,income,Net Banking,Savings Account,2032-03-14,INR,Bengaluru,No
TXN800020,USR30891,Amazon.in,Online/offline shopping purchase,425.58,Shopping,expense,Debit Card,Savings Account,2032-03-14,INR,Bengaluru,No
TXN800021,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2032-03-15,INR,Bengaluru,Yes
TXN800022,USR30891,Swiggy,Food order / dining,773.32,Food & Dining,expense,Credit Card,Credit Card,2032-03-16,INR,Bengaluru,No
TXN800023,USR30891,Upwork Client Payment,Freelance project payment received,9440.73,Freelancing,income,Net Banking,Savings Account,2032-03-17,INR,Bengaluru,No
TXN800024,USR30891,Local Restaurant,Food order / dining,900.09,Food & Dining,expense,Credit Card,Credit Card,2032-03-18,INR,Bengaluru,No
TXN800025,USR30891,WazirX Staking Payout,Crypto staking reward credited,662.84,Crypto Staking Yield,income,Net Banking,Savings Account,2032-03-19,INR,Bengaluru,Yes
TXN800026,USR30891,GST Payment - Freelance,Advance tax / GST payment,1334.21,Tax,expense,Net Banking,Savings Account,2032-03-20,INR,Bengaluru,Yes
TXN800027,USR30891,Local ATM Withdrawal,Miscellaneous expense,298.96,Other,expense,UPI,Savings Account,2032-03-20,INR,Bengaluru,No
