transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN200001,USR50234,Om Traders Pvt Ltd - Salary,Monthly salary credit,32000,Salary,income,Net Banking,Savings Account,2036-01-01,INR,Bhopal,Yes
TXN200002,USR50234,Netflix Mobile Plan,Monthly subscription,149,Subscriptions,expense,UPI,Savings Account,2036-01-02,INR,Bhopal,Yes
TXN200003,USR50234,Local Coaching Class Fee,Course / coaching fee,735.2,Education,expense,UPI,Savings Account,2036-01-02,INR,Bhopal,No
TXN200004,USR50234,Verma Estate - Landlord,Monthly house rent,8000,Housing & Rent,expense,Net Banking,Savings Account,2036-01-03,INR,Bhopal,Yes
TXN200005,USR50234,Spotify Premium,Monthly subscription,119,Subscriptions,expense,UPI,Savings Account,2036-01-04,INR,Bhopal,Yes
TXN200006,USR50234,Udemy,Course / coaching fee,822.07,Education,expense,UPI,Savings Account,2036-01-04,INR,Bhopal,No
TXN200007,USR50234,MP Electricity Board,Electricity bill payment,352.13,Utilities,expense,UPI,Savings Account,2036-01-05,INR,Bhopal,Yes
TXN200008,USR50234,Ola Cabs,Local commute expense,454.63,Transportation,expense,UPI,Savings Account,2036-01-05,INR,Bhopal,No
TXN200009,USR50234,Jio Fiber,Broadband monthly bill,499,Utilities,expense,UPI,Savings Account,2036-01-06,INR,Bhopal,Yes
TXN200010,USR50234,Municipal Water Bill,Water bill payment,241.91,Utilities,expense,Net Banking,Savings Account,2036-01-07,INR,Bhopal,Yes
TXN200011,USR50234,Local Dhaba,Food order / dining,64.36,Food & Dining,expense,Cash,Savings Account,2036-01-07,INR,Bhopal,No
TXN200012,USR50234,Bajaj Finserv Phone EMI,Mobile phone EMI,1600,EMI,expense,Net Banking,Savings Account,2036-01-08,INR,Bhopal,Yes
TXN200013,USR50234,IRCTC,Travel booking,624.21,Travel,expense,Net Banking,Savings Account,2036-01-08,INR,Bhopal,No
TXN200014,USR50234,LIC Premium,Life insurance premium,950,Insurance,expense,Net Banking,Savings Account,2036-01-10,INR,Bhopal,Yes
TXN200015,USR50234,Sabzi Mandi,Grocery purchase,285.53,Groceries,expense,UPI,Savings Account,2036-01-10,INR,Bhopal,No
TXN200016,USR50234,RD Auto-Debit - SBI Bank,Recurring deposit auto-transfer,1000,Savings,expense,Net Banking,Savings Account,2036-01-12,INR,Bhopal,Yes
TXN200017,USR50234,Local Gaming Cafe,Entertainment purchase,316.92,Entertainment,expense,UPI,Savings Account,2036-01-12,INR,Bhopal,No
TXN200018,USR50234,Local Shop Side Income,Side business income received,2411.4,Business,income,UPI,Savings Account,2036-01-13,INR,Bhopal,No
TXN200019,USR50234,Groww - SIP Investment,Monthly SIP investment,1000,Investment,expense,Net Banking,Savings Account,2036-01-15,INR,Bhopal,Yes
TXN200020,USR50234,Income Tax Advance Payment,Advance tax payment,635.34,Tax,expense,Net Banking,Savings Account,2036-01-20,INR,Bhopal,Yes
TXN200021,USR50234,Local Auto Rickshaw,Local commute expense,72.86,Transportation,expense,UPI,Savings Account,2036-01-26,INR,Bhopal,No
TXN200022,USR50234,Sabzi Mandi,Grocery purchase,1113.88,Groceries,expense,UPI,Savings Account,2036-01-27,INR,Bhopal,No
TXN200023,USR50234,Amazon.in,Shopping purchase,753.85,Shopping,expense,Debit Card,Savings Account,2036-01-28,INR,Bhopal,No
TXN200024,USR50234,Local Market,Shopping purchase,1192.59,Shopping,expense,Debit Card,Savings Account,2036-01-29,INR,Bhopal,No
TXN200025,USR50234,Local Cinema Hall,Entertainment purchase,327.37,Entertainment,expense,Cash,Savings Account,2036-01-31,INR,Bhopal,No
TXN201001,USR50234,Om Traders Pvt Ltd - Salary,Monthly salary credit,33000,Salary,income,Net Banking,Savings Account,2036-02-01,INR,Bhopal,Yes
TXN201002,USR50234,Netflix Mobile Plan,Monthly subscription,149,Subscriptions,expense,UPI,Savings Account,2036-02-02,INR,Bhopal,Yes
TXN201003,USR50234,IRCTC,Travel booking,321.75,Travel,expense,UPI,Savings Account,2036-02-02,INR,Bhopal,No
TXN201004,USR50234,Verma Estate - Landlord,Monthly house rent,8000,Housing & Rent,expense,Net Banking,Savings Account,2036-02-03,INR,Bhopal,Yes
TXN201005,USR50234,Spotify Premium,Monthly subscription,119,Subscriptions,expense,UPI,Savings Account,2036-02-04,INR,Bhopal,Yes
TXN201006,USR50234,MP Electricity Board,Electricity bill payment,512.98,Utilities,expense,UPI,Savings Account,2036-02-05,INR,Bhopal,Yes
TXN201007,USR50234,Jio Fiber,Broadband monthly bill,499,Utilities,expense,UPI,Savings Account,2036-02-06,INR,Bhopal,Yes
TXN201008,USR50234,WazirX Staking Payout,Crypto staking reward credited,269.05,Crypto Staking Yield,income,UPI,Savings Account,2036-02-07,INR,Bhopal,Yes
TXN201009,USR50234,Municipal Water Bill,Water bill payment,150.19,Utilities,expense,Net Banking,Savings Account,2036-02-07,INR,Bhopal,Yes
TXN201010,USR50234,Bajaj Finserv Phone EMI,Mobile phone EMI,1600,EMI,expense,Net Banking,Savings Account,2036-02-08,INR,Bhopal,Yes
TXN201011,USR50234,Fiverr Freelance Order,Freelance / tuition income received,1476.92,Freelancing,income,UPI,Savings Account,2036-02-09,INR,Bhopal,No
TXN201012,USR50234,LIC Premium,Life insurance premium,950,Insurance,expense,Net Banking,Savings Account,2036-02-10,INR,Bhopal,Yes
TXN201013,USR50234,Swiggy,Food order / dining,202.64,Food & Dining,expense,UPI,Savings Account,2036-02-10,INR,Bhopal,No
TXN201014,USR50234,Sabzi Mandi,Grocery purchase,1144.96,Groceries,expense,Cash,Savings Account,2036-02-11,INR,Bhopal,No
TXN201015,USR50234,Local Dhaba,Food order / dining,277.97,Food & Dining,expense,UPI,Savings Account,2036-02-11,INR,Bhopal,No
TXN201016,USR50234,RD Auto-Debit - SBI Bank,Recurring deposit auto-transfer,1000,Savings,expense,Net Banking,Savings Account,2036-02-12,INR,Bhopal,Yes
TXN201017,USR50234,Tea Stall,Food order / dining,196.95,Food & Dining,expense,Cash,Savings Account,2036-02-14,INR,Bhopal,No
TXN201018,USR50234,Udemy,Course / coaching fee,509.69,Education,expense,UPI,Savings Account,2036-02-14,INR,Bhopal,No
TXN201019,USR50234,Groww - SIP Investment,Monthly SIP investment,1000,Investment,expense,Net Banking,Savings Account,2036-02-15,INR,Bhopal,Yes
TXN201020,USR50234,Local Market,Shopping purchase,555.0,Shopping,expense,UPI,Savings Account,2036-02-15,INR,Bhopal,No
TXN201021,USR50234,Income Tax Advance Payment,Advance tax payment,570.47,Tax,expense,Net Banking,Savings Account,2036-02-20,INR,Bhopal,Yes
TXN201022,USR50234,New Market Bhopal,Shopping purchase,811.76,Shopping,expense,Cash,Savings Account,2036-02-20,INR,Bhopal,No
TXN201023,USR50234,Local Coaching Class Fee,Course / coaching fee,950.82,Education,expense,UPI,Savings Account,2036-02-20,INR,Bhopal,No
TXN201024,USR50234,BigBasket,Grocery purchase,284.81,Groceries,expense,UPI,Savings Account,2036-02-20,INR,Bhopal,No
TXN201025,USR50234,Local ATM Withdrawal,Miscellaneous expense,139.62,Other,expense,Cash,Savings Account,2036-02-22,INR,Bhopal,No
TXN201026,USR50234,Local Cinema Hall,Entertainment purchase,157.62,Entertainment,expense,Cash,Savings Account,2036-02-26,INR,Bhopal,No
TXN202001,USR50234,Om Traders Pvt Ltd - Salary,Monthly salary credit,34000,Salary,income,Net Banking,Savings Account,2036-03-01,INR,Bhopal,Yes
