transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN900001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,108000,Salary,income,Net Banking,Savings Account,2033-07-01,INR,Bengaluru,Yes
TXN900002,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2033-07-02,INR,Bengaluru,Yes
TXN900003,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2033-07-02,INR,Bengaluru,Yes
TXN900004,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2033-07-03,INR,Bengaluru,Yes
TXN900005,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2033-07-04,INR,Bengaluru,Yes
TXN900006,USR30891,Zomato,Food order / dining,434.86,Food & Dining,expense,Credit Card,Credit Card,2033-07-04,INR,Bengaluru,No
TXN900007,USR30891,Zomato,Food order / dining,797.68,Food & Dining,expense,Cash,Savings Account,2033-07-04,INR,Bengaluru,No
TXN900008,USR30891,BESCOM Electricity,Electricity bill payment,969.78,Utilities,expense,UPI,Savings Account,2033-07-05,INR,Bengaluru,Yes
TXN900009,USR30891,Local Gaming Cafe,Entertainment purchase,588.05,Entertainment,expense,Credit Card,Credit Card,2033-07-05,INR,Bengaluru,No
TXN900010,USR30891,Local Restaurant,Food order / dining,659.32,Food & Dining,expense,Cash,Savings Account,2033-07-05,INR,Bengaluru,No
TXN900011,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2033-07-06,INR,Bengaluru,Yes
TXN900012,USR30891,Local ATM Withdrawal,Miscellaneous expense,333.27,Other,expense,Cash,Savings Account,2033-07-06,INR,Bengaluru,No
TXN900013,USR30891,Apollo Pharmacy,Pharmacy / clinic payment,597.3,Healthcare,expense,Cash,Savings Account,2033-07-06,INR,Bengaluru,No
TXN900014,USR30891,BWSSB Water Bill,Water bill payment,439.73,Utilities,expense,Net Banking,Savings Account,2033-07-07,INR,Bengaluru,Yes
TXN900015,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2033-07-08,INR,Bengaluru,Yes
TXN900016,USR30891,Flipkart,Online/offline shopping purchase,2679.77,Shopping,expense,Credit Card,Credit Card,2033-07-09,INR,Bengaluru,No
TXN900017,USR30891,Courier - Delhivery,Miscellaneous expense,349.49,Other,expense,Cash,Savings Account,2033-07-09,INR,Bengaluru,No
TXN900018,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2033-07-10,INR,Bengaluru,Yes
TXN900019,USR30891,Coursera Subscription,Online course payment,2317.76,Education,expense,Credit Card,Credit Card,2033-07-10,INR,Bengaluru,No
TXN900020,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2033-07-12,INR,Bengaluru,Yes
TXN900021,USR30891,Udemy,Online course payment,872.92,Education,expense,Credit Card,Credit Card,2033-07-14,INR,Bengaluru,No
TXN900022,USR30891,Myntra,Online/offline shopping purchase,3108.4,Shopping,expense,Debit Card,Savings Account,2033-07-14,INR,Bengaluru,No
TXN900023,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2033-07-15,INR,Bengaluru,Yes
TXN900024,USR30891,MakeMyTrip,Travel booking,3863.83,Travel,expense,Credit Card,Credit Card,2033-07-16,INR,Bengaluru,No
TXN900025,USR30891,Stationery Shop,Miscellaneous expense,177.07,Other,expense,Cash,Savings Account,2033-07-17,INR,Bengaluru,No
TXN900026,USR30891,Fiverr Freelance Order,Freelance project payment received,7979.71,Freelancing,income,Net Banking,Savings Account,2033-07-18,INR,Bengaluru,No
TXN900027,USR30891,Uber,Ride / fuel expense,621.21,Transportation,expense,UPI,Savings Account,2033-07-19,INR,Bengaluru,No
TXN900028,USR30891,GST Payment - Freelance,Advance tax / GST payment,1383.31,Tax,expense,Net Banking,Savings Account,2033-07-20,INR,Bengaluru,Yes
TXN900029,USR30891,Mutual Fund Redemption Gain,Investment payout received,1634.61,Investments,income,Net Banking,Savings Account,2033-07-21,INR,Bengaluru,No
TXN900030,USR30891,Domino's Pizza,Food order / dining,400.8,Food & Dining,expense,Credit Card,Credit Card,2033-07-23,INR,Bengaluru,No
TXN900031,USR30891,Great Learning Course,Online course payment,591.15,Education,expense,Credit Card,Credit Card,2033-07-23,INR,Bengaluru,No
TXN901001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,108000,Salary,income,Net Banking,Savings Account,2033-08-01,INR,Bengaluru,Yes
TXN901002,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2033-08-02,INR,Bengaluru,Yes
TXN901003,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2033-08-02,INR,Bengaluru,Yes
TXN901004,USR30891,Amazon.in,Online/offline shopping purchase,1734.08,Shopping,expense,Credit Card,Credit Card,2033-08-02,INR,Bengaluru,No
TXN901005,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2033-08-03,INR,Bengaluru,Yes
TXN901006,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2033-08-04,INR,Bengaluru,Yes
