transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN507001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,91000,Salary,income,Net Banking,Savings Account,2029-07-01,INR,Bengaluru,Yes
TXN507002,USR30891,WazirX Staking Payout,Crypto staking reward credited,1489.9,Crypto Staking Yield,income,UPI,Savings Account,2029-07-02,INR,Bengaluru,Yes
TXN507003,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2029-07-02,INR,Bengaluru,Yes
TXN507004,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2029-07-02,INR,Bengaluru,Yes
TXN507005,USR30891,BookMyShow,Entertainment purchase,562.15,Entertainment,expense,Credit Card,Credit Card,2029-07-02,INR,Bengaluru,No
TXN507006,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2029-07-03,INR,Bengaluru,Yes
TXN507007,USR30891,Local Gaming Cafe,Entertainment purchase,450.04,Entertainment,expense,UPI,Savings Account,2029-07-03,INR,Bengaluru,No
TXN507008,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2029-07-04,INR,Bengaluru,Yes
TXN507009,USR30891,Apollo Pharmacy,Pharmacy / clinic payment,1298.25,Healthcare,expense,Cash,Savings Account,2029-07-04,INR,Bengaluru,No
TXN507010,USR30891,BESCOM Electricity,Electricity bill payment,1513.54,Utilities,expense,UPI,Savings Account,2029-07-05,INR,Bengaluru,Yes
TXN507011,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2029-07-06,INR,Bengaluru,Yes
TXN507012,USR30891,BWSSB Water Bill,Water bill payment,386.52,Utilities,expense,Net Banking,Savings Account,2029-07-07,INR,Bengaluru,Yes
TXN507013,USR30891,BookMyShow,Entertainment purchase,218.18,Entertainment,expense,Credit Card,Credit Card,2029-07-07,INR,Bengaluru,No
TXN507014,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,376.64,Healthcare,expense,Cash,Savings Account,2029-07-07,INR,Bengaluru,No
TXN507015,USR30891,Etsy Shop Payout,Business sales revenue received,8000.15,Business,income,Net Banking,Savings Account,2029-07-08,INR,Bengaluru,No
TXN507016,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2029-07-08,INR,Bengaluru,Yes
TXN507017,USR30891,IndiGo Airlines,Travel booking,4242.69,Travel,expense,Credit Card,Credit Card,2029-07-08,INR,Bengaluru,No
TXN507018,USR30891,Coursera Subscription,Online course payment,1529.81,Education,expense,Credit Card,Credit Card,2029-07-08,INR,Bengaluru,No
TXN507019,USR30891,Phoenix Mall,Online/offline shopping purchase,3049.95,Shopping,expense,Debit Card,Savings Account,2029-07-09,INR,Bengaluru,No
TXN507020,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2029-07-10,INR,Bengaluru,Yes
TXN507021,USR30891,Third Wave Coffee,Food order / dining,293.25,Food & Dining,expense,Credit Card,Credit Card,2029-07-10,INR,Bengaluru,No
TXN507022,USR30891,Ola Cabs,Ride / fuel expense,604.14,Transportation,expense,Cash,Savings Account,2029-07-11,INR,Bengaluru,No
TXN507023,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2029-07-12,INR,Bengaluru,Yes
TXN507024,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2029-07-15,INR,Bengaluru,Yes
TXN507025,USR30891,Tata 1mg,Pharmacy / clinic payment,1326.63,Healthcare,expense,Cash,Savings Account,2029-07-16,INR,Bengaluru,No
TXN507026,USR30891,Upwork Client Payment,Freelance project payment received,11223.67,Freelancing,income,UPI,Savings Account,2029-07-18,INR,Bengaluru,No
TXN507027,USR30891,PVR Cinemas,Entertainment purchase,476.54,Entertainment,expense,Credit Card,Credit Card,2029-07-19,INR,Bengaluru,No
TXN507028,USR30891,GST Payment - Freelance,Advance tax / GST payment,1633.38,Tax,expense,Net Banking,Savings Account,2029-07-20,INR,Bengaluru,Yes
TXN507029,USR30891,Stationery Shop,Miscellaneous expense,868.94,Other,expense,Cash,Savings Account,2029-07-20,INR,Bengaluru,No
TXN507030,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,980.93,Healthcare,expense,Cash,Savings Account,2029-07-20,INR,Bengaluru,No
TXN507031,USR30891,BookMyShow,Entertainment purchase,491.3,Entertainment,expense,Credit Card,Credit Card,2029-07-22,INR,Bengaluru,No
TXN507032,USR30891,DMart,Grocery purchase,2617.86,Groceries,expense,UPI,Savings Account,2029-07-26,INR,Bengaluru,No
TXN507033,USR30891,Swiggy,Food order / dining,187.86,Food & Dining,expense,Credit Card,Credit Card,2029-07-26,INR,Bengaluru,No
TXN507034,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,953.84,Healthcare,expense,Cash,Savings Account,2029-07-30,INR,Bengaluru,No
