transaction_id,user_id,merchant,description,amount,category,transaction_type,payment_method,account_type,transaction_date,currency,location,recurring
TXN700001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,100000,Salary,income,Net Banking,Savings Account,2031-03-01,INR,Bengaluru,Yes
TXN700002,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2031-03-02,INR,Bengaluru,Yes
TXN700003,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2031-03-02,INR,Bengaluru,Yes
TXN700004,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2031-03-03,INR,Bengaluru,Yes
TXN700005,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2031-03-04,INR,Bengaluru,Yes
TXN700006,USR30891,BESCOM Electricity,Electricity bill payment,1176.62,Utilities,expense,UPI,Savings Account,2031-03-05,INR,Bengaluru,Yes
TXN700007,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,241.72,Healthcare,expense,UPI,Savings Account,2031-03-05,INR,Bengaluru,No
TXN700008,USR30891,Phoenix Mall,Online/offline shopping purchase,3092.07,Shopping,expense,UPI,Savings Account,2031-03-05,INR,Bengaluru,No
TXN700009,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2031-03-06,INR,Bengaluru,Yes
TXN700010,USR30891,BWSSB Water Bill,Water bill payment,417.51,Utilities,expense,Net Banking,Savings Account,2031-03-07,INR,Bengaluru,Yes
TXN700011,USR30891,Bajaj Finserv Laptop EMI,Laptop purchase EMI,4500,EMI,expense,Net Banking,Savings Account,2031-03-08,INR,Bengaluru,Yes
TXN700012,USR30891,Coursera Subscription,Online course payment,1039.22,Education,expense,Credit Card,Credit Card,2031-03-08,INR,Bengaluru,No
TXN700013,USR30891,Great Learning Course,Online course payment,1157.63,Education,expense,Credit Card,Credit Card,2031-03-08,INR,Bengaluru,No
TXN700014,USR30891,Fiverr Freelance Order,Freelance project payment received,10085.43,Freelancing,income,UPI,Savings Account,2031-03-10,INR,Bengaluru,No
TXN700015,USR30891,Star Health Insurance,Health insurance premium,2200,Insurance,expense,Net Banking,Savings Account,2031-03-10,INR,Bengaluru,Yes
TXN700016,USR30891,Apollo Pharmacy,Pharmacy / clinic payment,1067.88,Healthcare,expense,UPI,Savings Account,2031-03-10,INR,Bengaluru,No
TXN700017,USR30891,RD Auto-Debit - ICICI Bank,Recurring deposit auto-transfer,3000,Savings,expense,Net Banking,Savings Account,2031-03-12,INR,Bengaluru,Yes
TXN700018,USR30891,Zerodha - SIP Mutual Fund,Monthly SIP investment,3500,Investment,expense,Net Banking,Savings Account,2031-03-15,INR,Bengaluru,Yes
TXN700019,USR30891,Local ATM Withdrawal,Miscellaneous expense,292.13,Other,expense,Cash,Savings Account,2031-03-16,INR,Bengaluru,No
TXN700020,USR30891,GST Payment - Freelance,Advance tax / GST payment,1725.69,Tax,expense,Net Banking,Savings Account,2031-03-20,INR,Bengaluru,Yes
TXN700021,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,805.91,Healthcare,expense,Debit Card,Savings Account,2031-03-21,INR,Bengaluru,No
TXN700022,USR30891,Goa Beach Resort Booking,Travel booking,1831.62,Travel,expense,Net Banking,Savings Account,2031-03-21,INR,Bengaluru,No
TXN700023,USR30891,Third Wave Coffee,Food order / dining,182.83,Food & Dining,expense,Cash,Savings Account,2031-03-23,INR,Bengaluru,No
TXN700024,USR30891,Manipal Diagnostic Lab,Pharmacy / clinic payment,520.93,Healthcare,expense,Cash,Savings Account,2031-03-23,INR,Bengaluru,No
TXN700025,USR30891,Local Gaming Cafe,Entertainment purchase,774.08,Entertainment,expense,Credit Card,Credit Card,2031-03-24,INR,Bengaluru,No
TXN700026,USR30891,Tata 1mg,Pharmacy / clinic payment,1466.57,Healthcare,expense,Debit Card,Savings Account,2031-03-26,INR,Bengaluru,No
TXN700027,USR30891,Ola Cabs,Ride / fuel expense,516.74,Transportation,expense,Cash,Savings Account,2031-03-26,INR,Bengaluru,No
TXN700028,USR30891,BookMyShow,Entertainment purchase,722.37,Entertainment,expense,Credit Card,Credit Card,2031-03-27,INR,Bengaluru,No
TXN700029,USR30891,Flipkart,Online/offline shopping purchase,2556.27,Shopping,expense,UPI,Savings Account,2031-03-27,INR,Bengaluru,No
TXN700030,USR30891,Rapido,Ride / fuel expense,1126.66,Transportation,expense,Credit Card,Credit Card,2031-03-27,INR,Bengaluru,No
TXN700031,USR30891,Myntra,Online/offline shopping purchase,1122.96,Shopping,expense,Debit Card,Savings Account,2031-03-28,INR,Bengaluru,No
TXN700032,USR30891,Coursera Subscription,Online course payment,676.36,Education,expense,Credit Card,Credit Card,2031-03-29,INR,Bengaluru,No
TXN701001,USR30891,Brightpath Analytics Pvt Ltd - Salary,Monthly salary credit,100000,Salary,income,Net Banking,Savings Account,2031-04-01,INR,Bengaluru,Yes
TXN701002,USR30891,PVR Cinemas,Entertainment purchase,774.3,Entertainment,expense,Credit Card,Credit Card,2031-04-01,INR,Bengaluru,No
TXN701003,USR30891,PVR Cinemas,Entertainment purchase,337.68,Entertainment,expense,Credit Card,Credit Card,2031-04-01,INR,Bengaluru,No
TXN701004,USR30891,Netflix,Monthly subscription,199,Subscriptions,expense,Credit Card,Credit Card,2031-04-02,INR,Bengaluru,Yes
TXN701005,USR30891,Spotify Premium,Monthly subscription,119,Subscriptions,expense,Credit Card,Credit Card,2031-04-02,INR,Bengaluru,Yes
TXN701006,USR30891,BookMyShow,Entertainment purchase,381.59,Entertainment,expense,UPI,Savings Account,2031-04-02,INR,Bengaluru,No
TXN701007,USR30891,Reddy Estate - Landlord,Monthly house rent,20000,Housing & Rent,expense,Net Banking,Savings Account,2031-04-03,INR,Bengaluru,Yes
TXN701008,USR30891,PVR Cinemas,Entertainment purchase,714.33,Entertainment,expense,Credit Card,Credit Card,2031-04-03,INR,Bengaluru,No
TXN701009,USR30891,YouTube Premium,Monthly subscription,149,Subscriptions,expense,Credit Card,Credit Card,2031-04-04,INR,Bengaluru,Yes
TXN701010,USR30891,BESCOM Electricity,Electricity bill payment,1137.27,Utilities,expense,UPI,Savings Account,2031-04-05,INR,Bengaluru,Yes
TXN701011,USR30891,ACT Fibernet,Broadband monthly bill,1099,Utilities,expense,UPI,Savings Account,2031-04-06,INR,Bengaluru,Yes
TXN701012,USR30891,BWSSB Water Bill,Water bill payment,367.69,Utilities,expense,Net Banking,Savings Account,2031-04-07,INR,Bengaluru,Yes
